mode,seed,mask_prob,crash_rate,crashes,waypoints_reached,current_waypoint,final_distance_to_goal,route_progress,rejected_rate,goal_abandoned,known_frac,avg_speed,action_dist_0,action_dist_1,action_dist_2,action_dist_3,action_dist_4
raw,0,0.0,0.125,5,0,1,270.982470352352,1,0.0,0,0.8000000000000004,0.3594769790768623,0.0,0.675,0.0,0.325,0.0
raw,1,0.0,0.15,6,1,1,399.99999999999994,1,0.0,0,0.7850000000000004,0.3335100919008255,0.025,0.425,0.275,0.275,0.0
raw,2,0.0,0.175,7,0,1,325.00000000000034,1,0.0,0,0.8000000000000004,0.3345147829502821,0.0,0.675,0.0,0.325,0.0
raw,3,0.0,0.05,2,1,2,600.0,2,0.0,0,0.6300000000000003,0.3237653438001871,0.0,0.975,0.0,0.025,0.0
raw,4,0.0,0.15,6,0,0,100.26635182939464,0.49866824085302686,0.0,0,0.7300000000000002,0.2915806494653225,0.025,0.775,0.2,0.0,0.0
raw,0,0.25,0.125,5,0,1,340.39972692992063,1,0.0,0,0.6600000000000003,0.3496009286493063,0.0,0.65,0.0,0.35,0.0
raw,1,0.25,0.125,5,1,1,325.6213410116242,1,0.0,0,0.5950000000000002,0.3142057958990335,0.025,0.475,0.325,0.175,0.0
raw,2,0.25,0.175,7,0,1,372.4873352961215,1,0.0,0,0.6100000000000001,0.33473687395453455,0.0,0.65,0.0,0.35,0.0
raw,3,0.25,0.05,2,1,2,600.0,2,0.0,0,0.535,0.3247461497783661,0.0,0.975,0.0,0.025,0.0
raw,4,0.25,0.175,7,0,0,200.00000000000003,0,0.0,0,0.6150000000000002,0.29059845544397833,0.0,0.75,0.175,0.075,0.0
raw,0,0.5,0.125,5,0,1,270.982470352352,1,0.0,0,0.5400000000000001,0.3585860524326563,0.0,0.625,0.0,0.375,0.0
raw,1,0.5,0.125,5,1,1,293.53378948149134,1,0.0,0,0.5000000000000002,0.3110720872879028,0.025,0.525,0.3,0.15,0.0
raw,2,0.5,0.2,8,0,1,347.48733529612167,1,0.0,0,0.47000000000000003,0.34733977988362313,0.0,0.525,0.0,0.475,0.0
raw,3,0.5,0.05,2,1,2,575.0000000000001,2,0.0,0,0.3800000000000001,0.32709323465824125,0.0,0.925,0.0,0.075,0.0
raw,4,0.5,0.175,7,0,0,200.00000000000003,0,0.0,0,0.49000000000000005,0.2912362366914749,0.0,0.8,0.175,0.025,0.0
intent,0,0,0.0,0,1,2,600.0,2,0.425,0,0.7800000000000001,0.31558460369706154,0.025,0.55,0.275,0.15,0.0
intent,1,0,0.0,0,2,2,600.0,2,0.325,0,0.7700000000000004,0.31085787117481234,0.0,0.675,0.15,0.175,0.0
intent,2,0,0.0,0,2,2,600.0,2,0.45,0,0.7750000000000004,0.29727877043187617,0.025,0.575,0.225,0.175,0.0
intent,3,0,0.0,0,1,2,600.0,2,0.55,0,0.7950000000000005,0.2815115246921778,0.0,0.475,0.175,0.35,0.0
intent,4,0,0.0,0,1,2,600.0,2,0.375,0,0.8000000000000004,0.2830335110425949,0.0,0.625,0.2,0.175,0.0
intent,0,0.25,0.075,3,1,2,450.5240235117873,2,0.725,3,0.7050000000000003,0.2805465321987867,0.0,0.6,0.225,0.175,0.0
